collection_date,RSV_sunnyvale,RSV_oceanside,RSV_palo_alto,RSV_san_jose,RSV_silicon_valley,RSV_southeast_san_francisco,Test_sunny,Test_Oceanside,Test_Palo,Test_san,Test_silcon,Test_south,Positive_sunny,Positive_Oceanside,Positive_Palo,Positive_san,Positive_silcon,Positive_south,,,RSV_sunnyvale,RSV_oceanside,RSV_palo_alto,RSV_san_jose,RSV_silicon_valley,RSV_southeast_san_francisco
2022/6/7,3504.605,2880.209,1870.485,6319.604,1383.63,4705.594,1,1,1,1,1,1,1,1,1,1,1,1,,,3504.605,2880.209,1870.485,6319.604,1383.63,4705.594
2022/6/8,15280.94,3045.51,500,3594.313,3957.982,1889.649,1,1,1,1,1,1,1,1,0,1,1,1,,,15280.94,3045.51,500,3594.313,3957.982,1889.649
2022/6/9,500,45333.33,29584.27,3290.34,500,500,1,1,1,1,1,1,0,1,1,1,0,0,,,500,45333.33,29584.27,3290.34,500,500
2022/6/10,6103.733,3927.209,1086.854,840.8192,3076.084,500,1,1,1,1,1,1,1,1,1,1,1,0,,,6103.733,3927.209,1086.854,840.8192,3076.084,500
2022/6/11,1551.321,3740.19,4005.772,909.9005,18063.29,500,1,1,1,1,1,1,1,1,1,1,1,0,,,1551.321,3740.19,4005.772,909.9005,18063.29,500
2022/6/12,500,4834.765,500,2256.935,500,1620.178,1,1,1,1,1,1,0,1,0,1,0,1,,,500,4834.765,500,2256.935,500,1620.178
2022/6/13,1867.14,500,2166.306,500,2899.146,500,1,1,1,1,1,1,1,0,1,0,1,0,,,1867.14,500,2166.306,500,2899.146,500
2022/6/14,500,4819.259,500,757.3844,500,500,1,1,1,1,1,1,0,1,0,1,0,0,,,500,4819.259,500,757.3844,500,500
2022/6/15,500,5639.36,3000.775,1216.308,500,500,1,1,1,1,1,1,0,1,1,1,0,0,,,500,5639.36,3000.775,1216.308,500,500
2022/6/16,1086.929,500,6048.413,4324.54,1919.05,3777.936,1,1,1,1,1,1,1,0,1,1,1,1,,,1086.929,500,6048.413,4324.54,1919.05,3777.936
2022/6/17,2541.517,500,1602.11,1258.744,3891.208,1535.741,1,1,1,1,1,1,1,0,1,1,1,1,,,2541.517,500,1602.11,1258.744,3891.208,1535.741
2022/6/18,2583.351,500,500,1456.313,4054.692,500,1,1,1,1,1,1,1,0,0,1,1,0,,,2583.351,500,500,1456.313,4054.692,500
2022/6/19,500,500,5331.968,2250.735,500,500,1,1,1,1,1,1,0,0,1,1,0,0,,,500,500,5331.968,2250.735,500,500
