collection_date,IAV_sunnyvale,IAV_oceanside,IAV_palo_alto,IAV_san_jose,IAV_silicon_valley,IAV_southeast_san_francisco,Test_sunny,Test_Oceanside,Test_Palo,Test_san,Test_silcon,Test_south,Positive_sunny,Positive_Oceanside,Positive_Palo,Positive_san,Positive_silcon,Positive_south
2022/4/16,1628.109547,500,5472.800629,2144.98538,1586.245768,,1,1,1,1,1,0,1,0,1,1,1,0
2022/4/17,1585.563877,500,5717.317263,3723.489508,2628.845304,,1,1,1,1,1,0,1,0,1,1,1,0
2022/4/18,3003.29202,13965.89459,5513.938875,5723.078711,1950.219067,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/19,4659.495538,1748.544225,9435.633417,3881.882819,1021.064295,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/20,2274.615109,1475.195787,25243.68299,5113.834853,500,,1,1,1,1,1,0,1,1,1,1,0,0
2022/4/21,1746.91063,1361.385562,6123.766522,4198.355584,3280.93488,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/22,1594.101189,6042.737011,8442.501519,6089.669264,2496.03407,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/23,2288.265627,3870.841347,3366.419371,6596.771005,6707.356657,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/24,3836.195615,1510.389479,5665.301358,6461.70962,500,,1,1,1,1,1,0,1,1,1,1,0,0
2022/4/25,4077.289982,1017.881422,6272.242053,2547.709946,1682.516506,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/26,4411.106775,500,6116.619722,2350.450804,3563.278876,,1,1,1,1,1,0,1,0,1,1,1,0
2022/4/27,6592.057443,1992.522473,8468.326938,5682.143447,2282.381971,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/28,9743.443342,4172.614008,5063.959718,6170.569125,6819.113191,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/29,6730.954939,3720.582068,6032.525884,5848.865806,4624.722859,,1,1,1,1,1,0,1,1,1,1,1,0
2022/4/30,5598.26299,500,8799.153963,3530.068073,3578.346891,,1,1,1,1,1,0,1,0,1,1,1,0
2022/5/1,3896.833734,2415.314718,6058.121073,3749.828635,9805.017686,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/2,2227.985129,868.2035882,3911.496377,6359.740647,4257.687294,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/3,4983.254298,500,6052.679107,2716.91924,4826.405692,,1,1,1,1,1,0,1,0,1,1,1,0
2022/5/4,2470.38805,500,23462.81551,7752.713844,1785.098776,,1,1,1,1,1,0,1,0,1,1,1,0
2022/5/5,,3515.835341,10004.01392,5558.18604,4328.875886,,0,1,1,1,1,0,0,1,1,1,1,0
2022/5/6,4469.045748,2408.917155,2686.682512,13744.12042,6803.475129,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/7,6521.178128,1060.339426,2391.634952,6897.146164,10958.21634,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/8,2926.840906,1816.301359,3376.515118,8133.842099,2965.342765,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/9,2379.361284,1409.700174,1791.041977,13417.39617,3069.296884,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/10,2640.835941,2133.643908,3373.9092,4248.673226,500,,1,1,1,1,1,0,1,1,1,1,0,0
2022/5/11,1527.744386,500,2834.893818,5422.78229,4830.6206,,1,1,1,1,1,0,1,0,1,1,1,0
2022/5/12,3358.462193,1506.305542,2101.330236,5510.193959,2373.661822,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/13,2477.795732,1625.911496,14563.12502,4748.729186,2031.820961,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/14,3225.143999,1345.850044,3748.149373,64388.37404,1343.465004,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/15,3909.993685,3964.143062,6583.28575,27986.15004,4055.334382,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/16,1717.880184,1886.93299,2829.421844,8762.559115,2689.339042,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/17,1019.808479,4712.296121,5217.320764,7251.222752,1828.300386,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/18,2928.385996,2381.413928,5383.431693,8366.45704,10605.74168,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/19,4715.945742,7394.092671,8341.453016,6102.223841,3848.473501,,1,1,1,1,1,0,1,1,1,1,1,0
2022/5/20,2531.546944,7568.376671,13189.96112,7255.703442,12740.96171,1266.638438,1,1,1,1,1,1,1,1,1,1,1,1
2022/5/21,1851.672388,3169.361056,3650.408525,4899.904546,6415.256372,1704.601999,1,1,1,1,1,1,1,1,1,1,1,1
2022/5/22,1548.928916,1576.418832,1610.952455,6058.723059,2337.711662,500,1,1,1,1,1,1,1,1,1,1,1,0
2022/5/23,11011.8866,980.0775803,6369.392077,5798.418895,8921.422211,969.1866962,1,1,1,1,1,1,1,1,1,1,1,1
2022/5/24,2186.10454,6046.711993,9152.599507,4429.191351,6361.503733,2847.484044,1,1,1,1,1,1,1,1,1,1,1,1
2022/5/25,3297.805987,4692.632141,9066.291099,9898.089064,3137.3237,7505.286894,1,1,1,1,1,1,1,1,1,1,1,1
2022/5/26,5819.587405,5093.923296,11433.7012,10458.7301,5819.544876,4248.459377,1,1,1,1,1,1,1,1,1,1,1,1
2022/5/27,5625.939837,6873.675923,23557.269,10120.77853,500,5989.837811,1,1,1,1,1,1,1,1,1,1,0,1
2022/5/28,12127.7123,5591.416763,13023.46603,6687.099601,2449.135231,5957.78227,1,1,1,1,1,1,1,1,1,1,1,1
2022/5/29,10685.44698,6059.709766,16478.1287,5978.242675,4862.635366,2026.084711,1,1,1,1,1,1,1,1,1,1,1,1
2022/5/30,6474.620908,,5286.139022,5672.151392,500,7594.282202,1,0,1,1,1,1,1,0,1,1,0,1
2022/5/31,3480.576037,2150.832325,7243.658532,4164.704911,1941.467467,3724.328865,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/1,2507.770683,4525.385963,2797.193071,7760.439162,9430.070209,4806.889428,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/2,3583.445478,7211.599712,8037.435916,7372.543757,8172.082622,3127.833664,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/3,4079.747898,10194.23061,9088.329672,10060.9659,500,3344.949979,1,1,1,1,1,1,1,1,1,1,0,1
2022/6/4,9330.633017,9695.49138,8188.240869,7966.737449,500,2706.947437,1,1,1,1,1,1,1,1,1,1,0,1
2022/6/5,50083.2471,5726.673807,5029.77174,4023.159544,3397.367734,5324.68572,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/6,2856.121477,1010.10871,4154.361874,5905.045277,3923.572547,2899.691413,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/7,2102.730085,3600.281517,10288.12172,6635.60042,1383.629699,4705.593663,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/8,2716.361933,5752.748356,3347.368421,7178.515008,3957.982446,8818.749131,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/9,3088.888889,6475.213675,6640.65774,6580.854527,4015.686275,8323.717651,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/10,3197.105961,6109.087505,3260.609633,5605.689834,2307.056139,3526.8127,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/11,1292.764646,3452.474454,3560.676295,8189.613877,1806.130776,2693.393691,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/12,500,3223.151962,7676.104166,1612.088563,500,2700.322079,1,1,1,1,1,1,0,1,1,1,0,1
2022/6/13,3423.136325,2089.770304,5054.815197,4470.421019,3382.346245,4465.13736,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/14,5136.299838,4176.671067,1342.148824,6816.847851,7096.258447,5602.794406,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/15,9141.828277,3858.451783,16005.41966,12975.05435,4851.383059,3960.37019,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/16,5797.220115,3515.297367,4838.70703,6246.618711,1535.235554,3777.935787,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/17,3106.313572,5386.891708,1922.537072,5286.927027,500,3378.679503,1,1,1,1,1,1,1,1,1,1,0,1
2022/6/18,4592.705354,2370.96625,2117.128194,5097.22715,500,2154.22594,1,1,1,1,1,1,1,1,1,1,0,1
2022/6/19,2985.831291,3580.338684,5331.968227,4951.692841,500,500,1,1,1,1,1,1,1,1,1,1,0,0
2022/6/20,1403.749616,6734.155271,1333.084689,8536.920402,500,500,1,1,1,1,1,1,1,1,1,1,0,0
2022/6/21,5428.693476,10354.43752,13876.74033,5425.38431,500,9228.279598,1,1,1,1,1,1,1,1,1,1,0,1
2022/6/22,8409.653648,5669.915727,3448.2024,14297.01822,1494.002776,500,1,1,1,1,1,1,1,1,1,1,1,0
2022/6/23,6247.156064,4265.602317,9356.387175,10719.36819,2851.523795,500,1,1,1,1,1,1,1,1,1,1,1,0
2022/6/24,5387.933552,3446.623336,8409.042107,2331.897458,3676.804732,2586.313626,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/25,2723.572547,1236.836668,8072.851806,6941.04088,2462.173313,2755.483995,1,1,1,1,1,1,1,1,1,1,1,1
2022/6/26,5334.424784,2925.068368,4352.33434,2756.203063,2745.474594,3017.246622,1,1,1,1,1,1,1,1,1,1,1,1
