"","date","count","positive","concentration","low","median","upr"
"192",2022-07-11,6,4,3.60453137402452,3.45958652787255,3.5178814150333,3.57954880162662
"193",2022-07-12,6,4,3.53631007505828,3.45046339898979,3.50973912583539,3.57161968794526
"194",2022-07-13,6,5,3.57145680001285,3.44176381758562,3.50149733760633,3.56455556438173
"195",2022-07-14,6,3,3.78441628801267,3.43456349080168,3.49383362775059,3.55701770994964
"196",2022-07-15,6,4,3.72468386202317,3.42647316117817,3.48698467097263,3.55062152820413
"197",2022-07-16,6,4,3.60103349404282,3.41968961438735,3.48013579219614,3.54387950409998
"198",2022-07-17,6,4,4.26360253289584,3.41383017744843,3.47349870751108,3.53592090603821
"199",2022-07-18,6,4,3.820268513976,3.40713576500674,3.46690867267975,3.52998401105387
"200",2022-07-19,6,6,3.52811017599875,3.400164892588,3.46041687428725,3.52379150388814
"201",2022-07-20,6,5,3.53267789796732,3.39405543966776,3.4542625785696,3.51722046303439
"202",2022-07-21,6,4,3.90026243697469,3.38643674710306,3.44754972482027,3.50994934357247
"203",2022-07-22,6,4,3.68783158397774,3.37948367897109,3.44057515077172,3.50274988778187
"204",2022-07-23,6,5,3.87514684502045,3.37242531324696,3.43349918489503,3.49602740376528
"205",2022-07-24,6,3,3.86327467598487,3.36488635387977,3.42623010827056,3.48856996945007
"206",2022-07-25,6,4,3.71462250900992,3.35698635227867,3.41904604483603,3.48210673488592
"207",2022-07-26,6,3,3.82981582599638,3.3491804867881,3.41206355856348,3.47591117954667
"208",2022-07-27,6,3,3.32995292309324,3.34139329229115,3.40494806936543,3.46839912823713
"209",2022-07-28,6,5,3.62822791602978,3.33404587058426,3.39840906100767,3.46135646650686
"210",2022-07-29,6,4,3.39853577204332,3.32732940607057,3.39205656522318,3.45444050798465
"211",2022-07-30,6,3,3.70490071201758,3.32141335718271,3.3858318489722,3.44855072967203
"212",2022-07-31,6,4,3.48562747104253,3.31507723858385,3.38060755672046,3.4437895184575
"213",2022-08-01,6,3,3.12213485004694,3.30969864846866,3.3761784751757,3.43876536437756
"214",2022-08-02,5,2,3.6207941080362,3.30487631154798,3.37236024197903,3.43604966720721
"215",2022-08-03,6,3,3.6596816839795,3.30230719839338,3.3691781401595,3.4325604239796
