"","date","count","positive","concentration","low","median","upr","low_observed","median_observed","upr_observed"
"103",2022-04-13,5,4,3.54294731805555,3.49218579264255,3.54725970653572,3.60227114668486,3.27586632732977,3.54660180188888,3.82493518218764
"104",2022-04-14,5,5,3.65413882903516,3.49928749608054,3.55413875944059,3.60904036793399,3.27199034868784,3.55665446005693,3.8328577375477
"105",2022-04-15,5,5,3.55906116002501,3.50701139837157,3.560980264219,3.61600946354544,3.2758379037485,3.56165907602225,3.83867412624217
"106",2022-04-16,5,4,3.37042201606537,3.51475055673899,3.56756852737693,3.62241299190266,3.28903579859867,3.56882301453962,3.8537123385926
"107",2022-04-17,5,4,3.48702279999687,3.52108331016794,3.57344114367078,3.62919032209286,3.28722344246946,3.57210906376415,3.85606307428067
"108",2022-04-18,5,5,3.6823682769803,3.52648099577833,3.57968767868133,3.6358372003853,3.30245720248502,3.58062759631304,3.86375105940355
"109",2022-04-19,5,5,3.49677641799545,3.5319939247185,3.58560701588798,3.64114622067411,3.30718383057771,3.58804369603926,3.87137905182122
"110",2022-04-20,5,4,3.65916424995249,3.53779436241318,3.5911131950651,3.64695454936054,3.30907417833058,3.59167990241206,3.86297401625119
"111",2022-04-21,5,5,3.46046945595803,3.54360164467504,3.59670127940889,3.65169277799159,3.31423666973903,3.59294816206378,3.88030491363532
"112",2022-04-22,5,5,3.61841298798427,3.54737488753843,3.60225746540146,3.65745067914151,3.31580380683594,3.60316151947399,3.88412952443869
"113",2022-04-23,5,5,3.62407256701813,3.5517005691513,3.60641930156398,3.66225873884023,3.32493404715083,3.60552971151897,3.88909870796716
"114",2022-04-24,5,4,3.58164003798738,3.55579666427917,3.61087306226048,3.66733730014431,3.32507877145872,3.61022014355114,3.890589174003
"115",2022-04-25,5,5,3.40952018306311,3.55990006092434,3.61462849591482,3.67134188240093,3.32592488069825,3.61621273092697,3.89545403598969
"116",2022-04-26,5,4,3.58851500699555,3.56374125434037,3.61799411520344,3.67491755207491,3.34160422043497,3.61793831763199,3.90188899312634
"117",2022-04-27,5,5,3.63182447004384,3.56643280492697,3.62159740038324,3.67763205236987,3.35090985471353,3.61874408174673,3.90197891487683
"118",2022-04-28,5,5,3.78753280799812,3.56937629847273,3.62408100016598,3.68079326362038,3.34366018856585,3.62376518621551,3.90531575198452
"119",2022-04-29,5,5,3.72226882702078,3.57125767093904,3.62615732575133,3.68224179455822,3.35065978456266,3.62782937076286,3.91362598083131
"120",2022-04-30,5,4,3.69848993298553,3.57225694294958,3.62741807944425,3.68407717091436,3.34470494689983,3.62524270652857,3.9048380730937
"121",2022-05-01,5,5,3.664296671028,3.57408245580013,3.62865105851038,3.68582875197317,3.35107164352868,3.62876148277963,3.91223851886492
"122",2022-05-02,5,5,3.46229799292669,3.57456860378984,3.62920320381309,3.68692944632212,3.35115319340967,3.63139720087319,3.90838545079519
"123",2022-05-03,5,4,3.64929031300441,3.57473181084008,3.62978400794144,3.68774888883266,3.35256214146058,3.63260345390348,3.90654569740499
"124",2022-05-04,5,4,3.72606532803569,3.57565826921038,3.6300914973384,3.6875772456158,3.35401199157834,3.63117798450771,3.90940901185414
"125",2022-05-05,4,4,3.73187775701476,3.57586015622848,3.62978614654705,3.68814602896633,3.35360873407426,3.63536725372479,3.90941739229235
"126",2022-05-06,5,5,3.68642015301095,3.57548085214873,3.62910252847724,3.6874720607157,3.34270850458131,3.62900319771336,3.9109459021685
"127",2022-05-07,5,5,3.6193750329941,3.57582454254346,3.62926547820323,3.68709577409045,3.35088232604884,3.63005957460581,3.91455311891863
"128",2022-05-08,5,5,3.52728527199234,3.57389159681217,3.62930917051167,3.68837756609009,3.35304489660265,3.63144084981015,3.91125828017897
"129",2022-05-09,5,5,3.47868000995221,3.57492019876587,3.63012849198692,3.68898844833384,3.35877199729428,3.63250877554412,3.91152967263426
"130",2022-05-10,5,4,3.47681252101793,3.57461867647895,3.63109588089445,3.69019207844847,3.36844893839144,3.63079151583431,3.91225765788468
"131",2022-05-11,5,4,3.51370314793418,3.57576995722172,3.63298225566753,3.6919680344868,3.34683787723353,3.62944787021873,3.91160404571496
"132",2022-05-12,5,5,3.42862671600838,3.57877467472193,3.63533619558918,3.69431099320185,3.35359299209822,3.63753136443492,3.92530833171751
"133",2022-05-13,5,5,3.550575964016,3.58250277652954,3.639029604024,3.69752483031936,3.3616939729182,3.63984912986704,3.91706644804355
