"","time","incidence_2","wastewater","measured_ww","logWW","ND","ND_2","low_3_a","med_3_a","upr_3_a","error"
"126",145,NA,NA,NA,2.879196622,NA,2,2.10204688830768,2.59288870086312,2.95480440339481,0.286307921136876
"127",146,NA,NA,NA,2.933220013,NA,2,2.30598720087659,2.72497287221288,3.05609337622281,0.20824714078712
"128",147,NA,NA,NA,2.987207736,NA,2,2.37615472431963,2.77584293221082,3.10000399820829,0.211364803789182
"129",148,NA,NA,NA,3.041155059,NA,3,3.02065011552496,3.04049589895486,3.05994540922447,0.000659160045143103
"130",149,NA,NA,NA,3.095056639,NA,4,3.07638023053824,3.09561566906693,3.11499482365844,0.000559030066930255
"131",150,NA,NA,NA,3.148906438,NA,4,3.12934164997436,3.1486833778454,3.16827932467889,0.000223060154599608
"771",96,2.579498667,244.9010382,2.248484964,2.388990626,0,0,1.67969423918681,2.23358128971819,2.68152218165464,0.15540933628181
"781",97,2.223646234,211.1051638,3.2876224,2.324498857,0,0,1.19413194672635,1.9604150963759,2.52076011110223,0.3640837606241
"791",98,1.916894978,181.9752232,1.477735427,2.260012261,0,0,0.788884254533375,1.70428485964403,2.4010501691054,0.555727401355974
"801",99,1.652467229,156.8664809,1.888250299,2.195530154,0,0,0.250437352657019,1.47834014550696,2.3200813083976,0.71719000849304
"811",100,1.652467229,135.223426,1.940870708,2.131051935,0,0,-0.128302110433681,1.28811316197579,2.26116739776716,0.842938773024213
"821",101,1.652467229,120.7234579,2.265994038,2.081791667,0,0,-0.566709237634997,1.09583703061333,2.18283891760354,0.985954636386674
"831",102,1.652467229,111.0105563,1.887102329,2.045364279,0,1,1.07819018609393,2.03407716335631,2.65124954720475,0.0112871156436913
"841",103,1.652467229,104.5055862,2.903706764,2.019139506,0,0,0.78126219671402,1.90086655758879,2.57263903290846,0.118272948411212
"851",104,1.652467229,100.1501531,1.705112472,2.000651618,0,0,0.552712159241401,1.76644365289538,2.50083648580357,0.234207965104621
"861",105,1.652467229,97.23490632,1.814914203,1.9878222,0,0,0.137794726667074,1.61210315931768,2.44521548678865,0.375719040682324
"871",106,1.652467229,95.28445042,1.694604776,1.979022033,0,1,1.32340261995414,2.17614674808499,2.70492716576955,0.197124715084988
"881",107,1.652467229,93.98020128,2.273550569,1.973036371,0,0,1.04292995015682,2.03839432922698,2.64424701284463,0.0653579582269774
