date,concentration_north_1,low_north_1,med_north_1,upr_north_1,concentrationnorth_2,low_north_2,med_north_2,upr_north_2
2022/4/25,NA,3.394507089,3.759514673,4.042204058,NA,3.47299201,3.812622291,4.121820606
2022/4/26,NA,3.408794291,3.771952115,4.051001521,NA,3.490016383,3.822702947,4.129387433
2022/4/27,NA,3.427884072,3.784198805,4.060801707,NA,3.505356001,3.832127927,4.133328865
2022/4/28,NA,3.443420255,3.795738013,4.070493931,NA,3.517814329,3.84069217,4.136824495
2022/4/29,NA,3.458996449,3.807482329,4.077713181,NA,3.530615326,3.847918583,4.14076228
2022/4/30,NA,3.474582076,3.819464425,4.085784189,NA,3.543814011,3.855913559,4.146811084
2022/5/1,NA,3.490593456,3.832180117,4.096455621,NA,3.558076723,3.864935038,4.152271311
2022/5/2,NA,3.510350297,3.844708582,4.101668751,NA,3.576752675,3.872870483,4.159352558
2022/5/3,NA,3.530212309,3.856062298,4.109455159,NA,3.595472409,3.880521106,4.162300262
2022/5/4,NA,3.548187815,3.86854344,4.117200212,NA,3.610876516,3.887800057,4.162787542
2022/5/5,NA,3.573557954,3.880409892,4.123978838,NA,3.625469901,3.894090658,4.165046807
2022/5/6,NA,3.590462892,3.892785494,4.130765852,NA,3.637362479,3.901229568,4.16434607
2022/5/7,NA,3.611760094,3.904437168,4.137883233,NA,3.650182007,3.906547201,4.165189204
2022/5/8,NA,3.631860117,3.916868381,4.144946677,NA,3.66165268,3.910864313,4.163962868
2022/5/9,NA,3.650316359,3.927500915,4.149088529,NA,3.676901549,3.915659244,4.162072508
2022/5/10,NA,3.668344416,3.938137819,4.154727875,NA,3.691419573,3.920250913,4.161560458
2022/5/11,NA,3.693148162,3.948145437,4.161146031,NA,3.70157043,3.925669376,4.160488929
2022/5/12,NA,3.714250924,3.958987608,4.166425146,NA,3.711957134,3.929557322,4.159225892
2022/5/13,NA,3.734288944,3.969160533,4.170223621,NA,3.722795564,3.930961904,4.158499532
2022/5/14,NA,3.754432414,3.979084492,4.17608648,NA,3.730001216,3.932572691,4.15460924
2022/5/15,NA,3.775377815,3.988650586,4.182002429,NA,3.738660514,3.934640443,4.149346863
2022/5/16,7701.808711,3.793140603,3.997361502,4.187588151,21378.23247,3.744402047,3.934367737,4.144584756
2022/5/17,27860.11745,3.809417327,4.005222124,4.191170871,7911.498016,3.749310067,3.933747886,4.137022984
2022/5/18,500,3.822612222,4.01222892,4.196948052,500,3.752747227,3.931724711,4.12866584
2022/5/19,NA,3.831052287,4.020293088,4.201106166,NA,3.754932801,3.928910837,4.123560375
2022/5/20,NA,3.841328307,4.026427166,4.203914159,NA,3.753869702,3.925020052,4.118320766
2022/5/21,NA,3.848258437,4.03169559,4.208434165,NA,3.752793049,3.920896375,4.112604345
2022/5/22,NA,3.855271592,4.036579275,4.211032056,NA,3.748432624,3.914409926,4.103479592
2022/5/23,3061.030248,3.862229722,4.039814949,4.213365053,6881.188416,3.744535046,3.908092114,4.092311253
2022/5/24,4313.213957,3.867266043,4.042885552,4.216797195,7141.385917,3.734556435,3.899496229,4.080952303
2022/5/25,28794.0417,3.872247879,4.045803415,4.218827819,18334.82734,3.726541078,3.889192702,4.071387919
2022/5/26,NA,3.87577386,4.047819914,4.220092549,NA,3.715266206,3.87857931,4.05808248
2022/5/27,NA,3.879665578,4.04767738,4.22352686,NA,3.703468714,3.867025065,4.047733647
