"","ww","lower","median","upper"
"121",185418.137635662,0.996803394561234,0.999708119418484,0.999989865593543
"122",203959.951399228,0.997309870866205,0.999770996568604,0.999992789642116
"123",224355.946539151,0.997739107623821,0.999820262884599,0.999994875212089
"124",246791.541193066,0.998099087128432,0.999859140788367,0.999996353999625
"125",271470.695312373,0.998402145013319,0.999889560506263,0.99999740760508
"126",298617.76484361,0.998658106464637,0.999913428550943,0.999998156668885
"127",328479.541327971,0.998872338625435,0.999932130627382,0.999998692440314
"128",361327.495460768,0.999051847921733,0.999946795278069,0.999999068771008
"129",397460.245006845,0.999202006187655,0.999958277885429,0.999999338212205
"130",437206.26950753,0.99932856915453,0.999967303941983,0.999999529574274
"131",480926.896458283,0.999435632870694,0.99997435969698,0.999999666217047
"132",529019.586104111,0.999525626358463,0.999979892176203,0.999999763009661
"133",581921.544714522,0.999601441442505,0.999984246167164,0.999999831230131
"134",640113.699185974,0.999665114790029,0.999987649007778,0.999999880423911
"135",704125.069104572,0.999718144528554,0.999990316700671,0.999999915184516
"136",774537.576015029,0.999763077757803,0.999992407534533,0.999999939652605
"137",851991.333616532,0.999800592852073,0.999994047626404,0.999999957195389
"138",937190.466978185,0.999832405978728,0.999995332857796,0.999999969690765
"139",1030909.513676,0.999859215504015,0.999996338670628,0.999999978481565
"140",1134000.4650436,0.999881551237419,0.999997129354747,0.999999984670233
